ticker,v,vw,o,c,h,l,t,n
fx_CAEDUSD,40830,183.0134,182.66,183.375,183.4499,182.655,1717424220000,465
fx_CAEDUSD,67213,183.8266,183.375,184.18,184.23,183.1596,1717424280000,851
fx_CAEDUSD,45281,184.1942,184.23,183.88,184.4999,183.86,1717424340000,638
fx_CAEDUSD,36308,183.8981,184.03,183.91,184.08,183.5001,1717424400000,489
fx_CAEDUSD,29729,184.0984,183.92,184.26,184.29,183.865,1717424460000,389
fx_CAEDUSD,26566,184.1337,184.29,183.9859,184.4199,183.94,1717424520000,321
fx_CAEDUSD,24115,183.9974,184.07,183.91,184.11,183.86,1717424580000,272
fx_CAEDUSD,14290,183.9462,183.9999,183.79,184.15,183.7304,1717424640000,237
fx_CAEDUSD,531,183.8583,183.8599,183.8599,183.8599,183.8599,1717424700000,7
fx_CAEDUSD,13928,183.5382,183.7,183.2401,183.86,183.08,1717424760000,319
fx_CAEDUSD,5160,183.195,183.1,183.11,183.33,183.1,1717424820000,170
fx_CAEDUSD,16493,182.9911,183.24,182.84,183.24,182.75,1717424880000,310
stocks_NKE,389,178.4604,178.49,178.49,178.49,178.49,1717402980000,30
stocks_NKE,484,178.6027,178.68,178.68,178.68,178.68,1717403400000,27
stocks_NKE,602,178.3978,178.4,178.4,178.4,178.4,1717404000000,8
stocks_NKE,855,178.0958,178.08,178.08,178.08,178.08,1717406340000,31
stocks_NKE,464,178.0512,178.07,178.08,178.08,178.07,1717407360000,19
stocks_NKE,312,177.6251,177.6,177.6,177.6,177.6,1717412460000,12
stocks_NKE,1033,177.5013,177.5,177.5,177.5,177.5,1717412640000,7
stocks_NKE,175,177.42,177.42,177.42,177.42,177.42,1717412940000,1
stocks_NKE,1761,177.3768,177.37,177.37,177.37,177.37,1717413000000,26
stocks_NKE,184,177.4511,177.45,177.45,177.45,177.45,1717413600000,7
stocks_NKE,394,177.4131,177.42,177.41,177.42,177.41,1717413840000,6
stocks_NKE,235,177.1609,177.16,177.16,177.16,177.16,1717414260000,11
stocks_NKE,3152,177.0019,177,177,177,177,1717414320000,43
stocks_NKE,1299,176.7418,176.76,176.7,176.76,176.7,1717414860000,37
stocks_NKE,1139,176.6982,176.7,176.7,176.7,176.7,1717415040000,23
stocks_NKE,330,176.6503,176.65,176.65,176.65,176.65,1717415100000,6
stocks_NKE,1121,176.5169,176.6,176.5,176.6,176.5,1717415160000,13
stocks_NKE,10892,177.0414,177.8,176.5,177.8,176.25,1717416000000,114
stocks_NKE,904,178.1239,178.5,177.65,178.5,177.65,1717416120000,36
stocks_NKE,2477,177.334,177.65,178.57,178.57,176.65,1717416180000,67
stocks_NKE,1926,176.8676,176.8599,177.65,177.65,176.74,1717416240000,28
stocks_NKE,1018,177.4657,176.74,176.74,176.74,176.74,1717416300000,48
stocks_NKE,409,177.2419,177.85,177.85,177.85,177.85,1717416360000,18
stocks_NKE,441,177.7803,177.65,177.65,177.65,177.65,1717416420000,16
stocks_NKE,576,176.8678,176.8,176.8,176.8,176.8,1717416720000,17
stocks_NKE,227,176.9484,176.96,176.96,176.96,176.96,1717416840000,9
stocks_NKE,1010,176.9993,177,177,177,177,1717416900000,2
stocks_NKE,412,177.1159,177.16,177.16,177.16,177.16,1717417080000,20
stocks_NKE,500,177,177,177,177,177,1717417380000,1
stocks_NKE,390,177.0977,177.1,177.1,177.1,177.1,1717417500000,10
stocks_NKE,101,177.1006,177.1,177.1,177.1,177.1,1717417560000,2
stocks_NKE,286,177.1418,177.16,177.16,177.16,177.16,1717417680000,10
stocks_NKE,168,177.0054,177,177,177,177,1717417860000,4
stocks_NKE,684,177.1702,177.16,177.1599,177.16,177.1599,1717418040000,13
stocks_NKE,3002,177,177,177,177,177,1717418160000,2
stocks_NKE,573,177.0096,177.01,177.01,177.01,177.01,1717418400000,2
stocks_NKE,1998,177.3993,177.39,177.41,177.41,177.39,1717418760000,30
stocks_NKE,564,177.3955,177.4082,177.41,177.41,177.4082,1717418820000,13
stocks_NKE,600,177.3336,177.35,177.35,177.3504,177.35,1717418880000,25
stocks_NKE,240,177.278,177.289,177.289,177.289,177.289,1717418940000,10
stocks_NKE,730,177.3036,177.31,177.31,177.31,177.31,1717419000000,9
stocks_NKE,598,177.4,177.35,177.41,177.41,177.35,1717419120000,2
stocks_NKE,827,177.3832,177.41,177.41,177.41,177.41,1717419180000,25
stocks_NKE,514,177.3888,177.41,177.41,177.41,177.41,1717419240000,27
stocks_NKE,254,177.3895,177.39,177.39,177.39,177.39,1717419360000,3
stocks_NKE,1708,177.415,177.41,177.42,177.42,177.41,1717419540000,54
stocks_NKE,300,177.3667,177.4,177.35,177.4,177.35,1717419960000,2
stocks_NKE,4560,177.8264,177.5,178,178,177.5,1717420080000,105
stocks_NKE,884,178.0266,178,178.0001,178.04,178,1717420140000,7
stocks_NKE,4026,178.0613,178.04,178.25,178.25,178,1717420200000,50
stocks_NKE,115,178.2868,178.3099,178.3099,178.3099,178.3099,1717420260000,5
stocks_NKE,478,177.9345,177.91,177.91,177.91,177.91,1717420440000,14
stocks_NKE,1118,177.997,177.98,178,178,177.98,1717420800000,27
stocks_NKE,172,178.1227,178.15,178.15,178.15,178.15,1717420860000,7
stocks_NKE,959,177.9996,178,178,178,178,1717420920000,28
stocks_NKE,564,178.0126,178,178,178,178,1717420980000,6
stocks_NKE,625,178.0006,178,178,178,178,1717421040000,9
stocks_NKE,558,178.0018,178,178,178,178,1717421160000,14
stocks_NKE,384,178.0113,178.0009,178.0009,178.0009,178.0009,1717421220000,11
stocks_NKE,190,178.0205,178,178,178,178,1717421280000,2
stocks_NKE,1572,178.0329,178.01,178.1,178.1,178.01,1717421340000,13
stocks_NKE,105388,178.2698,178.09,178.79,178.98,178.0197,1717421400000,953
stocks_NKE,33697,178.8296,178.74,179.1,179.16,178.3167,1717421460000,469
stocks_NKE,29844,178.9193,179.085,179.14,179.14,178.6867,1717421520000,389
stocks_NKE,40438,179.3768,179.2,179.44,179.75,178.99,1717421580000,436
